Commit,Status,Time(seconds),Notes,Command
https://github.com/apache/iotdb/commit/d7854a6d38fc8e8b23a78601d6e1d728e2380cf4,UP,,according to clover,
https://github.com/apache/iotdb/commit/5faa9da049e304bc519a2b96d47cc78d0bdbb9d1,S,,,
https://github.com/apache/hudi/commit/e788eb2decd4a70266c041e9917af3f16e407fb7,TC,,,
https://github.com/apache/hudi/commit/d0830c81cf272c00f5845454747e8f676b11a8a2,TC,,,
https://github.com/apache/hudi/commit/228b6fe40fab468c8f810ce43db984a01802a403,TC,,,
https://github.com/apache/hudi/commit/27c7efb4efc380360af7a18fc57c0757f852390f,TC,,,
https://github.com/apache/hudi/commit/454f7d37b8d466908690bcf9213fd5497489fb00,TC,,,
https://github.com/apache/hudi/commit/439afa55821df6f7bf6494e27e396e1c1dcaca29,TC,,,
https://github.com/apache/hudi/commit/997200f27f5ad64c11bc7b6dedc01ca4c898c890,TC,,,
https://github.com/apache/pinot/commit/c8d108506d098b6de8017b4226b4a8911ea0d775,NUJ,,(testng),
https://github.com/apache/pinot/commit/f796de43d669a95439ed8f91ef1423bf31bf7b52,NUJ,,,
https://github.com/apache/pinot/commit/5bd49197a73a62bac47863055378420af563471c,NUJ,,,
https://github.com/apache/pinot/commit/8925ee85e9665dcc6cb9f81980211f2dd5765510,NUJ,,,
https://github.com/apache/pinot/commit/22de7d27a460f85b76afac6b9f497eb0a092dabf,NUJ,,,
https://github.com/apache/pinot/commit/d1a71d8518d5bb0c5cffb6046f50c76bd4603270,NUJ,,,
https://github.com/apache/pinot/commit/9bba76f45af49423f0384672475da86e14a7a86c,NUJ,,,
https://github.com/apache/pinot/commit/a5a83aa81bb4e6872edcd891f18168840d36cc9a,NUJ,,,
https://github.com/apache/pinot/commit/6e6e0a4e86918e1b73491ffe0e177745db7645fe,NUJ,,,
https://github.com/apache/pinot/commit/7818167fea7d3581e7f885b0aeeae8c7d1b6a4c0,NUJ,,,
